,BoardState,action,player,score_p0,score_p1,round,delta_score_p0,delta_score_p1,relevant_round,opponent_score_in_relevant_round,other_player,reward
1,"[4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 0]",1.0,0.0,0,0,1,0.0,0.0,1.0,2.0,0.0,-2.0
2,"[0, 5, 5, 5, 5, 4, 0, 4, 4, 4, 4, 4, 4, 0]",3.0,1.0,0,1,1,0.0,1.0,2.0,1.0,1.0,0.0
3,"[0, 5, 5, 5, 5, 4, 0, 4, 4, 0, 5, 5, 5, 1]",4.0,1.0,0,2,1,0.0,1.0,2.0,1.0,1.0,0.0
4,"[1, 6, 5, 5, 5, 4, 0, 4, 4, 0, 0, 6, 6, 2]",4.0,0.0,1,2,2,1.0,0.0,2.0,2.0,0.0,-1.0
5,"[1, 6, 5, 0, 6, 5, 1, 5, 5, 0, 0, 6, 6, 2]",2.0,1.0,1,3,2,0.0,1.0,3.0,0.0,1.0,1.0
6,"[1, 6, 5, 0, 6, 5, 1, 5, 0, 1, 1, 7, 7, 3]",5.0,1.0,1,4,2,0.0,1.0,3.0,0.0,1.0,1.0
7,"[2, 7, 6, 1, 7, 5, 1, 5, 0, 1, 1, 0, 8, 4]",1.0,0.0,1,4,3,0.0,0.0,3.0,9.0,0.0,-9.0
8,"[0, 8, 7, 1, 7, 5, 1, 5, 0, 1, 1, 0, 8, 4]",4.0,1.0,1,13,3,0.0,9.0,4.0,0.0,1.0,9.0
9,"[0, 0, 7, 1, 7, 5, 1, 5, 0, 1, 0, 0, 8, 13]",4.0,0.0,1,13,4,0.0,0.0,4.0,8.0,0.0,-8.0
10,"[0, 0, 7, 0, 8, 5, 1, 5, 0, 1, 0, 0, 8, 13]",3.0,1.0,1,21,4,0.0,8.0,5.0,1.0,1.0,7.0
11,"[0, 0, 0, 0, 8, 5, 1, 5, 0, 0, 0, 0, 8, 21]",5.0,0.0,2,21,5,1.0,0.0,5.0,3.0,0.0,-2.0
12,"[0, 0, 0, 0, 0, 6, 2, 6, 1, 1, 1, 1, 9, 21]",1.0,1.0,2,22,5,0.0,1.0,6.0,1.0,1.0,0.0
13,"[0, 0, 0, 0, 0, 6, 2, 0, 2, 2, 2, 2, 10, 22]",5.0,1.0,2,23,5,0.0,1.0,6.0,1.0,1.0,0.0
14,"[0, 0, 0, 0, 0, 6, 2, 0, 2, 2, 2, 0, 11, 23]",3.0,1.0,2,24,5,0.0,1.0,6.0,1.0,1.0,0.0
15,"[0, 0, 0, 0, 0, 6, 2, 0, 2, 0, 3, 0, 11, 24]",6.0,0.0,3,45,6,1.0,21.0,6.0,0.0,,1.0
